CustomerID,PLZ,City,State
9124aad31df2,5146.0,Wetzlar,Schleswig-Holstein
49067f21850d,8320.0,Grimmen,Thüringen
9ac16b47a843,72760.0,Eggenfelden,Bremen
c4c7cda08897,6719.0,Holzminden,Nordrhein-Westfalen
0a872da2b2c2,22593.0,Gunzenhausen,Bremen
635719a9bacb,48463.0,Emmendingen,Bremen
e70e2b8716ad,51826.0,Leipziger Land,Thüringen
cd0279635bf1,21224.0,Zossen,Schleswig-Holstein
a9617bd36564,19108.0,Rochlitz,Bremen
c061d6ecb41c,97546.0,Vechta,Brandenburg
54ff55540509,2255.0,Schwerin,Niedersachsen
4778890e21f0,16272.0,Griesbach Rottal,Sachsen
c9971add6108,92222.0,Lüdenscheid,Nordrhein-Westfalen
c5dd3a786081,14257.0,Eckernförde,Schleswig-Holstein
e4b5cb2247b3,18915.0,Torgau,Thüringen
d7c8a8f805ce,13210.0,Darmstadt,Bayern
180277d9bac3,91093.0,Vilsbiburg,Schleswig-Holstein
a345a4ce9ea4,74545.0,Rehau,Thüringen
1d535cf02561,53390.0,Kassel,Baden-Württemberg
910f11049def,4337.0,Stadtroda,Bayern
063985b5ff29,59208.0,Staffelstein,Niedersachsen
