CustomerID,PLZ,City,State
c1c7a2848f40,38908,Weimar,Sachsen-Anhalt
d56badee061c,55940,Pinneberg,Brandenburg
fba69d74eef3,25534,Schmölln,Hamburg
c3c2603b2d70,37672,Dieburg,Mecklenburg-Vorpommern
94f6486963cd,26916,Sankt Goar,Schleswig-Holstein
dad91dcce010,48281,Soltau,Hessen
6dcf47721286,71822,Quedlinburg,Hamburg
2c8754a768e5,31509,Rudolstadt,Mecklenburg-Vorpommern
22579d7e20eb,76311,Jülich,Sachsen-Anhalt
c81259f34a41,87262,Moers,Mecklenburg-Vorpommern
7598bd71fe53,60260,Grimmen,Schleswig-Holstein
5b122d52814b,09788,Bayreuth,Berlin
09d35015c802,62475,Amberg,Schleswig-Holstein
8dc07de707aa,98084,Delitzsch,Niedersachsen
e27e61b004ff,01640,Holzminden,Bremen
63f37926227c,62045,Kaiserslautern,Hessen
db6dedca2e05,60733,Jena,Nordrhein-Westfalen
9ab65ae42320,14294,Bützow,Sachsen-Anhalt
24c1e8e62f86,56159,Sternberg,Brandenburg
6bbc7f2133e2,80443,Rosenheim,Rheinland-Pfalz
aadcd499a962,20037,Miesbach,Sachsen-Anhalt
ad0a5f423792,17278,Wunsiedel,Schleswig-Holstein
00dc5e3ff9c4,34558,Dessau,Bremen
210b5734e487,70546,Pirmasens,Mecklenburg-Vorpommern
4778890e21f0,16272,Griesbach Rottal,Sachsen
690e733c2dab,10033,Schwerin,Bremen
b61fe1d1a782,90496,Weimar,Hessen
2d3ec09b42db,71657,Marienberg,Hamburg
15b0192f7a89,79965,Norden,Rheinland-Pfalz
df34cfce2ddd,77014,Luckenwalde,Mecklenburg-Vorpommern
d4c40c6083d0,35182,Fürstenfeldbruck,Thüringen
91cbdba25f4e,27109,München,Thüringen
35402ac5b811,94131,Schlüchtern,Mecklenburg-Vorpommern
36ed7d6287d9,81206,Tuttlingen,Thüringen
31ac448529cf,42102,Sangerhausen,Nordrhein-Westfalen
997decc5f01e,94013,Zschopau,Niedersachsen
c3fcbe5dfa7d,56551,Hohenmölsen,Sachsen-Anhalt
99724234e6f0,60385,Schwäbisch Hall,Schleswig-Holstein
52bbbecf7e4a,13171,Northeim,Nordrhein-Westfalen
b45ed2c50b71,84044,Dresden,Schleswig-Holstein
fd6f448a537c,66270,Nürtingen,Rheinland-Pfalz
a3106c759a3b,96158,Hersbruck,Thüringen
1178ea5629ae,00504,Kleve,Sachsen-Anhalt
024a96c9fa45,74821,Ilmenau,Nordrhein-Westfalen
055ae687dcb3,40909,Gütersloh,Mecklenburg-Vorpommern
c254fe7df2af,09521,Hofgeismar,Sachsen-Anhalt
2576f8c3e902,68516,Grimmen,Brandenburg
a690f5f162c9,61200,Niesky,Brandenburg
619165201926,05377,Karlsruhe,Brandenburg
b6d10b6a036a,29318,Rottweil,Hessen
359d96a93aa1,02402,Passau,Brandenburg
f878dd62e343,76617,Bersenbrück,Berlin
389e0f551325,11836,Geithain,Sachsen-Anhalt
1cc70d32846d,11116,Wolfenbüttel,Saarland
13e46c560187,27315,Celle,Niedersachsen
b9e344c756b9,20183,Lüdenscheid,Schleswig-Holstein
7769f1239eef,76797,Guben,Hessen
51146b476b24,43244,Coburg,Baden-Württemberg
3f9cb3978a57,59696,Hainichen,Brandenburg
1ab934b136ba,45352,Oranienburg,Brandenburg
713ba8f61f39,99799,Sebnitz,Rheinland-Pfalz
2282d30985a3,05411,Moers,Bayern
58e74b1567d2,77889,Kassel,Saarland
886e21a9b6c8,51925,Starnberg,Sachsen
5d3422d03696,23573,Dessau,Bremen
6e9e7a01eb11,29270,Kassel,Mecklenburg-Vorpommern
88e7bdd912aa,23924,Sondershausen,Thüringen
c9bd25c32752,50606,Gera,Sachsen
db7f6e6545a6,04328,Calau,Nordrhein-Westfalen
23c74196e72c,24609,Gießen,Sachsen-Anhalt
72e988d8eb56,51531,Delitzsch,Bayern
2f3a8a765079,30305,Osterburg,Sachsen
15aca2854624,58416,Malchin,Hamburg
c98325181881,70596,Soltau,Bayern
379ebebe8e18,56909,Sömmerda,Schleswig-Holstein
dd0fe71671a0,27868,Grimma,Niedersachsen
05736a0d282c,,Cottbus,Hessen
3e4e37d748aa,78669,Cuxhaven,Rheinland-Pfalz
0465ce22ecb4,42253,Paderborn,Nordrhein-Westfalen
921e62ce7ad8,01094,Riesa,Sachsen-Anhalt
bc7ee4f48339,67735,Helmstedt,Rheinland-Pfalz
fa66a4abdf6e,21046,Grafenau,Hamburg
f6c2dde03a92,87339,Badalzungen,Bayern
10d283c4b3f1,98358,Bersenbrück,Sachsen
685102ce2f35,00257,Dresden,Bremen
edb3a21ac1bc,51694,Sankt Goar,Thüringen
9613928529a8,91307,Lüdenscheid,Bremen
e4dfa3382446,85854,Euskirchen,Mecklenburg-Vorpommern
0ad842e0f02b,65240,Warendorf,Berlin
4ed747073d46,01657,Tecklenburg,Bremen
a04233aec2c9,80262,Lichtenfels,Thüringen
46eff0f99985,15274,Ansbach,Rheinland-Pfalz
37ec30b57d11,27530,Kulmbach,Mecklenburg-Vorpommern
3817ec543c32,14593,Delitzsch,Thüringen
a9617bd36564,19108,Rochlitz,Bremen
93746af9a172,86790,Suhl,Nordrhein-Westfalen
0e5b577d82cd,70462,Sondershausen,Sachsen-Anhalt
469278a0c2d3,00478,Perleberg,Sachsen
05a078d470a8,90306,Genthin,Hessen
200a2290a9f2,68705,Pasewalk,Rheinland-Pfalz
7320f3ffb41e,68826,Greiz,Hessen
26d16a151448,98373,Hansestadttralsund,Baden-Württemberg
1086241e2fd7,44587,Burg,Thüringen
77521dc72242,53693,Quedlinburg,Rheinland-Pfalz
9124aad31df2,10062,Bergzabern,Bremen
7299927759bf,84086,Büsingen am Hochrhein,Brandenburg
17591257966a,66687,Soest,Baden-Württemberg
afb8f64e78d8,25039,Worbis,Sachsen
